Time(sec),A3TDR6MXS6UO5
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-99.95243055555555
16.0,-80.83200240138171
17.0,-75.43002031376196
18.0,-74.86989892067842
19.0,-74.30977752759489
20.0,-73.74965613451135
21.0,-73.18953474142783
22.0,-72.6294133483443
23.0,-72.06929195526077
24.0,-71.50917056217723
25.0,-70.94904916909371
26.0,-70.44774052228395
27.0,-70.15087618394968
28.0,-69.87081548740791
29.0,-69.59075479086614
30.0,-69.31069409432438
31.0,-69.03063339778262
32.0,-68.75057270124084
33.0,-68.47051200469909
34.0,-68.19045130815732
35.0,-67.91039061161555
36.0,-67.63032991507379
37.0,-67.35026921853202
38.0,-67.07020852199025
39.0,-66.79014782544849
40.0,-66.51008712890673
41.0,-66.23002643236495
42.0,-65.9499657358232
43.0,-65.66990503928142
44.0,-65.38984434273966
45.0,-65.10978364619788
46.0,-64.82972294965613
47.0,-64.54966225311436
48.0,-64.2696015565726
49.0,-63.98954086003083
50.0,-63.70948016348907
51.0,-63.429419466947294
52.0,-63.149358770405534
53.0,-62.869298073863774
54.0,-62.589237377322
55.0,-62.30917668078024
56.0,-62.02911598423848
57.0,-61.749055287696706
58.0,-61.468994591154946
59.0,-61.18893389461317
60.0,-60.90887319807141
61.0,-60.62881250152965
62.0,-60.34875180498788
63.0,-60.06869110844612
64.0,-59.78863041190435
65.0,-59.50856971536258
66.0,-59.228509018820816
67.0,-58.94844832227905
68.0,-58.66838762573728
69.0,-58.38832692919552
70.0,-58.10826623265375
71.0,-57.82820553611199
72.0,-57.54814483957023
73.0,-57.26808414302845
74.0,-56.98802344648669
75.0,-56.70796274994493
76.0,-56.42790205340316
77.0,-56.1478413568614
78.0,-55.86778066031964
79.0,-55.587719963777865
80.0,-55.307659267236104
81.0,-55.02759857069433
82.0,-54.74753787415257
83.0,-54.4674771776108
84.0,-54.187416481069036
85.0,-53.90735578452727
86.0,-53.6272950879855
87.0,-53.347234391443735
88.0,-53.067173694901975
89.0,-52.7871129983602
90.0,-52.50705230181844
91.0,-52.22699160527668
92.0,-51.946930908734906
93.0,-51.666870212193146
94.0,-51.386809515651386
95.0,-51.10674881910961
96.0,-50.82668812256785
97.0,-50.546627426026085
98.0,-50.26656672948432
99.0,-49.98650603294256
100.0,-49.70644533640079
101.0,-49.42638463985902
102.0,-49.17433001297143
103.0,-49.13232090849017
104.0,-49.13232090849017
105.0,-49.13232090849017
106.0,-49.13232090849017
107.0,-49.13232090849017
108.0,-49.13232090849017
109.0,-49.13232090849017
110.0,-49.13232090849017
111.0,-49.13232090849017
112.0,-49.104314838836
113.0,-48.86626324677549
114.0,-48.58620255023372
115.0,-48.306141853691955
116.0,-48.02608115715019
117.0,-47.74602046060843
118.0,-47.46595976406666
119.0,-47.18589906752489
120.0,-46.90583837098313
121.0,-46.625777674441366
122.0,-46.3457169778996
123.0,-46.06565628135783
124.0,-45.785595584816065
125.0,-45.505534888274305
126.0,-45.22547419173254
127.0,-44.94541349519077
128.0,-44.66535279864901
129.0,-44.38529210210724
130.0,-44.105231405565476
131.0,-43.82517070902371
132.0,-43.54511001248194
133.0,-43.265049315940175
