,ACBG07QLGIDP0
0,-100.0
1,-100.0
2,-100.0
8472,-100.0
8473,-100.0
8490,-100.0
8494,-100.0
8507,-100.0
8509,-100.0
8523,-100.0
8526,-100.0
8540,-100.0
8542,-100.0
8556,-100.0
45337,-100.0
45346,-100.0
45355,-100.0
45395,-100.0
45401,-100.0
45414,-100.0
45419,-100.0
45432,-100.0
45435,-100.0
45449,-100.0
45547,-100.0
45564,-100.0
45568,-100.0
45598,-100.0
45604,-100.0
45616,-100.0
45621,-100.0
45636,-100.0
45641,-100.0
45653,-100.0
52749,-100.0
52766,-100.0
52772,-100.0
52800,-100.0
52807,-100.0
52819,-100.0
52822,-100.0
52836,-100.0
52840,-100.0
52854,-100.0
52857,-100.0
52861,-100.0
52970,-100.0
52988,-100.0
52991,-100.0
53021,-100.0
53025,-100.0
53028,-100.0
53032,-100.0
53047,-100.0
79277,-100.0
79293,-100.0
79296,-100.0
79309,-100.0
79312,-100.0
79327,-100.0
79330,-100.0
79342,-100.0
79345,-100.0
79394,-100.0
79396,-100.0
79410,-100.0
79412,-100.0
79427,-100.0
79429,-100.0
79443,-100.0
79445,-100.0
79461,-100.0
80015,-100.0
80032,-100.0
80034,-100.0
80048,-100.0
80051,-100.0
80064,-100.0
80067,-100.0
80081,-100.0
80083,-100.0
80098,-100.0
80100,-100.0
80115,-100.0
80117,-100.0
80131,-100.0
80133,-100.0
80148,-100.0
83033,-100.0
83049,-100.0
83052,-100.0
83066,-100.0
83069,-100.0
83082,-100.0
83085,-100.0
83099,-100.0
83102,-100.0
83117,-100.0
83121,-100.0
83133,-100.0
83135,-100.0
83150,-100.0
83153,-100.0
83168,-100.0
83289,-100.0
83307,-100.0
83322,-100.0
83356,-100.0
83563,-100.0
83583,-100.0
83584,-100.0
83606,-100.0
83612,-100.0
83643,-100.0
83649,-100.0
83676,-100.0
83680,-100.0
83695,-100.0
84064,-100.0
84072,-100.0
84078,-100.0
84091,-100.0
84100,-100.0
84125,-100.0
84129,-100.0
84143,-100.0
84147,-100.0
84160,-100.0
84165,-100.0
84178,-100.0
91335,-100.0
91351,-100.0
91354,-100.0
91368,-100.0
91370,-100.0
91381,-100.0
91384,-100.0
91387,-100.0
91400,-100.0
91401,-100.0
91404,-100.0
91406,-100.0
91417,-100.0
91420,-100.0
91423,-100.0
91427,-100.0
91435,-100.0
91437,-100.0
91442,-100.0
91445,-100.0
91451,-100.0
91453,-100.0
91459,-100.0
91463,-100.0
91468,-100.0
91470,-100.0
91476,-100.0
91481,-100.0
91484,-100.0
91487,-100.0
91494,-100.0
91502,-100.0
91703,-100.0
91721,-100.0
91723,-100.0
91736,-100.0
91738,-100.0
91753,-100.0
91756,-100.0
91769,-100.0
91771,-100.0
91786,-100.0
91789,-100.0
91804,-100.0
91807,-100.0
91820,-100.0
91822,-100.0
91837,-100.0
92051,-100.0
92058,-100.0
92061,-100.0
92073,-100.0
92078,-100.0
92092,-100.0
92095,-100.0
92128,-100.0
92134,-100.0
92149,-100.0
92153,-100.0
92182,-100.0
101146,-100.0
101161,-100.0
101164,-100.0
101179,-100.0
101181,-100.0
101195,-100.0
101197,-100.0
101212,-100.0
101214,-100.0
101228,-100.0
101231,-100.0
101246,-100.0
101248,-100.0
101262,-100.0
101265,-100.0
101278,-100.0
101414,-100.0
101430,-100.0
101432,-100.0
101446,-100.0
101449,-100.0
101464,-100.0
101466,-100.0
101480,-100.0
101482,-100.0
101497,-100.0
101499,-100.0
101513,-100.0
101664,-100.0
101682,-100.0
101685,-100.0
101699,-100.0
101701,-100.0
101714,-100.0
101716,-100.0
101732,-100.0
101734,-100.0
101748,-100.0
101866,-100.0
101883,-100.0
101885,-100.0
101898,-100.0
101901,-100.0
101933,-100.0
101936,-100.0
101949,-100.0
101952,-100.0
101967,-100.0
102084,-100.0
102100,-100.0
102103,-100.0
102134,-100.0
102137,-100.0
102150,-100.0
102153,-100.0
102167,-100.0
102303,-100.0
102319,-100.0
102321,-100.0
102351,-100.0
102354,-100.0
102369,-100.0
102487,-100.0
102505,-100.0
102507,-100.0
102519,-100.0
102522,-100.0
102537,-100.0
102539,-100.0
102552,-100.0
102555,-100.0
102569,-100.0
102572,-100.0
102604,-100.0
102806,-100.0
102821,-100.0
102824,-100.0
102854,-100.0
102858,-100.0
102873,-100.0
143866,-100.0
143887,-100.0
143898,-100.0
143924,-100.0
143928,-100.0
143942,-100.0
143945,-100.0
143960,-100.0
143964,-100.0
143977,-100.0
143982,-100.0
143994,-100.0
143998,-100.0
144014,-100.0
144129,-100.0
144145,-100.0
144150,-100.0
144163,-100.0
144167,-100.0
144180,-100.0
144185,-100.0
144198,-100.0
144445,-100.0
144463,-100.0
144466,-100.0
144479,-100.0
144484,-100.0
144496,-100.0
144499,-100.0
144514,-100.0
144518,-100.0
144533,-100.0
144536,-100.0
144539,-100.0
144544,-100.0
144558,-100.0
144763,-100.0
144784,-100.0
144792,-100.0
144814,-100.0
144818,-100.0
144832,-100.0
158787,-100.0
158804,-100.0
158820,-100.0
158837,-100.0
158854,-100.0
158870,-100.0
158887,-100.0
158904,-100.0
158920,-100.0
159087,-100.0
159104,-100.0
159121,-100.0
159137,-100.0
159154,-100.0
159170,-100.0
159187,-100.0
159204,-100.0
159220,-100.0
190388,-100.0
190405,-100.0
190421,-100.0
190438,-100.0
190454,-100.0
190471,-100.0
190588,-100.0
190605,-100.0
190621,-100.0
190638,-100.0
190654,-100.0
190671,-100.0
211299,-100.0
211316,-100.0
211333,-100.0
211349,-100.0
211366,-100.0
211382,-100.0
211399,-100.0
211416,-100.0
211432,-100.0
211449,-100.0
211466,-100.0
211482,-100.0
211499,-100.0
211516,-100.0
216299,-100.0
216317,-100.0
216333,-100.0
216349,-100.0
216366,-100.0
216383,-100.0
216399,-100.0
216416,-100.0
216432,-100.0
216449,-100.0
216466,-100.0
216482,-100.0
216499,-100.0
216516,-100.0
249339,-100.0
249358,-100.0
249365,-100.0
249391,-100.0
249394,-100.0
249409,-100.0
249413,-100.0
249428,-100.0
249431,-100.0
249445,-100.0
249449,-100.0
249462,-100.0
249467,-100.0
249481,-100.0
249484,-100.0
249499,-100.0
249502,-100.0
249505,-100.0
249632,-100.0
249650,-100.0
249654,-100.0
249659,-100.0
249665,-100.0
249691,-100.0
249695,-100.0
249708,-100.0
249713,-100.0
249728,-100.0
249872,-100.0
249889,-100.0
249906,-100.0
249923,-100.0
249939,-100.0
249956,-100.0
250056,-100.0
250063,-100.0
250073,-100.0
250084,-100.0
250089,-100.0
250100,-100.0
250106,-100.0
250113,-100.0
250117,-100.0
250122,-100.0
250132,-100.0
250135,-100.0
250139,-100.0
250143,-100.0
250155,-100.0
250160,-100.0
250174,-100.0
250177,-100.0
250192,-100.0
250195,-100.0
250210,-100.0
250214,-100.0
250229,-100.0
250300,-100.0
250309,-100.0
250325,-100.0
250342,-100.0
250347,-100.0
250377,-100.0
250383,-100.0
250412,-100.0
251666,-100.0
251683,-100.0
251699,-100.0
251716,-100.0
251733,-100.0
251749,-100.0
251766,-100.0
251783,-100.0
251799,-100.0
251816,-100.0
251833,-100.0
251849,-100.0
251866,-100.0
251883,-100.0
251899,-100.0
251917,-100.0
252181,-100.0
252199,-100.0
252202,-100.0
252223,-100.0
252227,-100.0
252241,-100.0
252244,-100.0
252260,-100.0
252263,-100.0
252275,-100.0
252277,-100.0
252282,-100.0
252293,-100.0
252295,-100.0
252306,-100.0
252310,-100.0
252312,-100.0
252323,-100.0
252327,-100.0
252330,-100.0
252339,-100.0
252343,-100.0
252345,-100.0
252356,-100.0
252361,-100.0
252372,-100.0
252384,-100.0
252389,-100.0
252392,-100.0
252400,-100.0
252426,-100.0
252430,-100.0
252443,-100.0
252447,-100.0
252462,-100.0
252465,-100.0
252478,-100.0
252489,-100.0
252507,-100.0
252522,-100.0
252539,-100.0
252556,-100.0
252572,-100.0
252579,-100.0
252595,-100.0
252597,-100.0
252612,-100.0
252614,-100.0
252627,-100.0
252630,-100.0
252646,-100.0
252648,-100.0
252661,-100.0
252704,-100.0
252711,-100.0
252715,-100.0
252742,-100.0
252746,-100.0
252761,-100.0
252764,-100.0
252777,-100.0
252783,-100.0
252795,-100.0
252798,-100.0
252813,-100.0
252817,-100.0
252833,-100.0
252837,-100.0
252849,-100.0
252999,-100.0
253017,-100.0
253020,-100.0
253041,-100.0
254649,-100.0
254667,-100.0
254683,-100.0
254699,-100.0
254716,-100.0
254733,-100.0
254750,-100.0
254766,-100.0
254783,-100.0
254799,-100.0
254816,-100.0
254833,-100.0
254849,-100.0
254866,-100.0
254883,-100.0
254899,-100.0
256519,-100.0
256536,-100.0
256539,-100.0
256552,-100.0
256555,-100.0
256570,-100.0
256573,-100.0
256585,-100.0
256588,-100.0
256602,-100.0
256605,-100.0
256619,-100.0
256822,-100.0
256840,-100.0
256842,-100.0
256854,-100.0
256856,-100.0
256871,-100.0
256873,-100.0
256889,-100.0
320080,-100.0
320096,-100.0
320108,-100.0
320133,-100.0
320139,-100.0
320167,-100.0
320171,-100.0
320186,-100.0
322463,-100.0
322481,-100.0
322485,-100.0
322514,-100.0
322518,-100.0
322532,-100.0
322535,-100.0
322550,-100.0
322553,-100.0
322568,-100.0
330900,-100.0
330917,-100.0
330933,-100.0
330950,-100.0
330967,-100.0
330983,-100.0
331000,-100.0
331017,-100.0
331033,-100.0
331050,-100.0
332250,-100.0
332267,-100.0
332283,-100.0
332300,-100.0
332317,-100.0
332333,-100.0
332350,-100.0
332367,-100.0
332383,-100.0
332400,-100.0
332417,-100.0
332433,-100.0
332451,-100.0
332567,-100.0
332586,-100.0
332589,-100.0
332618,-100.0
332623,-100.0
332637,-100.0
332641,-100.0
332673,-100.0
332678,-100.0
332698,-100.0
332750,-100.0
332768,-100.0
332784,-100.0
332800,-100.0
332817,-100.0
332833,-100.0
332850,-100.0
332867,-100.0
332883,-100.0
332900,-100.0
332917,-100.0
332933,-100.0
332950,-100.0
332967,-100.0
332983,-100.0
333000,-100.0
333017,-100.0
333033,-100.0
333050,-100.0
333067,-100.0
333083,-100.0
333100,-100.0
333105,-100.0
333120,-100.0
333124,-100.0
333138,-100.0
333141,-100.0
333156,-100.0
333159,-100.0
333174,-100.0
333179,-100.0
333181,-100.0
333975,-100.0
334000,-100.0
334003,-100.0
334017,-100.0
334022,-100.0
334034,-100.0
334037,-100.0
334053,-100.0
334056,-100.0
334071,-100.0
334074,-100.0
334090,-100.0
334093,-100.0
334110,-100.0
334186,-100.0
334204,-100.0
334207,-100.0
334219,-100.0
334224,-100.0
334238,-100.0
334244,-100.0
334255,-100.0
334258,-100.0
334273,-100.0
338150,-100.0
338167,-100.0
338183,-100.0
338200,-100.0
338217,-100.0
338233,-100.0
338250,-100.0
338267,-100.0
338283,-100.0
338300,-100.0
338317,-100.0
338333,-100.0
338350,-100.0
338367,-100.0
338383,-100.0
338400,-100.0
338417,-100.0
338433,-100.0
338450,-100.0
338467,-100.0
338483,-100.0
338500,-100.0
338517,-100.0
338533,-100.0
338550,-100.0
338567,-100.0
338583,-100.0
338600,-100.0
338617,-100.0
338633,-100.0
338651,-100.0
338667,-100.0
338683,-100.0
338700,-100.0
338717,-100.0
338733,-100.0
338750,-100.0
338767,-100.0
338783,-100.0
338800,-100.0
338817,-100.0
338833,-100.0
338850,-100.0
341500,-100.0
341518,-100.0
341533,-100.0
341550,-100.0
341567,-100.0
341583,-100.0
341600,-100.0
341617,-100.0
341633,-100.0
341650,-100.0
341667,-100.0
341683,-100.0
341700,-100.0
341717,-100.0
341733,-100.0
341750,-100.0
341767,-100.0
341783,-100.0
341793,-100.0
341800,-100.0
341810,-100.0
341814,-100.0
341817,-100.0
341833,-100.0
341839,-100.0
341850,-100.0
341852,-100.0
341855,-100.0
341867,-100.0
341870,-100.0
341873,-100.0
341883,-100.0
341888,-100.0
341891,-100.0
341900,-100.0
341906,-100.0
341917,-100.0
341933,-100.0
341950,-100.0
341967,-100.0
341983,-100.0
342000,-100.0
342017,-100.0
342034,-100.0
342417,-100.0
342434,-100.0
342450,-100.0
342467,-100.0
342483,-100.0
342500,-100.0
342517,-100.0
342533,-100.0
342550,-100.0
342567,-100.0
342583,-100.0
342600,-100.0
342617,-100.0
342633,-100.0
