,A12FTSX85NQ89
0,-100.0
1,-100.0
18934,-100.0
18954,-100.0
18977,-100.0
19010,-100.0
19030,-100.0
19047,-100.0
19064,-100.0
19083,-100.0
19116,-100.0
19133,-100.0
19152,-100.0
19176,-100.0
20634,-100.0
20652,-100.0
20677,-100.0
20693,-100.0
20711,-100.0
20728,-100.0
20747,-100.0
20763,-100.0
20782,-100.0
20799,-100.0
20816,-100.0
20834,-100.0
20851,-100.0
20869,-100.0
25932,-100.0
25979,-100.0
25992,-100.0
26011,-100.0
26022,-100.0
26040,-100.0
26056,-100.0
26062,-100.0
26072,-100.0
26078,-100.0
26089,-100.0
26106,-100.0
26122,-100.0
26130,-100.0
26139,-100.0
26143,-100.0
26156,-100.0
26173,-100.0
26180,-100.0
26189,-100.0
26206,-100.0
26210,-100.0
26223,-100.0
26240,-100.0
26251,-100.0
26262,-100.0
26306,-100.0
26326,-100.0
26361,-100.0
26369,-100.0
26405,-100.0
26406,-100.0
26423,-100.0
26424,-100.0
26439,-100.0
26441,-100.0
26446,-100.0
26454,-100.0
26456,-100.0
26472,-100.0
26476,-100.0
26486,-100.0
26489,-100.0
26501,-100.0
26505,-100.0
26506,-100.0
26518,-100.0
26523,-100.0
26537,-100.0
26539,-100.0
26551,-100.0
26556,-100.0
26559,-100.0
26573,-100.0
26586,-100.0
26589,-100.0
26606,-100.0
26609,-100.0
26622,-100.0
26625,-100.0
26648,-100.0
26658,-100.0
26678,-100.0
26688,-100.0
26708,-100.0
26718,-100.0
26737,-100.0
26756,-100.0
26769,-100.0
26786,-100.0
26805,-100.0
26824,-100.0
26838,-100.0
26868,-100.0
26894,-100.0
26926,-100.0
26965,-100.0
26977,-100.0
26998,-100.0
27009,-100.0
27043,-100.0
27054,-100.0
27080,-100.0
27097,-100.0
27118,-100.0
27131,-100.0
27157,-100.0
27238,-100.0
27287,-100.0
27289,-100.0
27296,-100.0
27310,-100.0
27314,-100.0
27325,-100.0
27338,-100.0
27340,-100.0
27348,-100.0
27357,-100.0
27358,-100.0
27371,-100.0
27481,-100.0
27515,-100.0
27518,-100.0
27531,-100.0
27547,-100.0
27566,-100.0
27638,-100.0
27639,-100.0
27672,-100.0
27686,-100.0
27694,-100.0
27721,-100.0
27726,-100.0
27742,-100.0
27784,-100.0
27794,-100.0
27810,-100.0
27821,-100.0
27844,-100.0
27871,-100.0
27879,-100.0
27890,-100.0
27918,-100.0
27928,-100.0
27933,-100.0
27950,-100.0
27987,-100.0
27990,-100.0
27998,-100.0
28012,-100.0
28052,-100.0
28074,-100.0
28125,-100.0
28166,-100.0
28241,-100.0
28259,-100.0
28266,-100.0
28270,-100.0
28295,-100.0
28306,-100.0
28313,-100.0
28340,-100.0
28348,-100.0
28350,-100.0
28380,-100.0
28394,-100.0
28395,-100.0
28419,-100.0
28440,-100.0
28458,-100.0
28470,-100.0
28867,-100.0
28895,-100.0
28913,-100.0
28922,-100.0
28923,-100.0
28939,-100.0
28940,-100.0
28956,-100.0
28965,-100.0
28973,-100.0
28982,-100.0
28989,-100.0
29006,-100.0
29010,-100.0
29023,-100.0
29035,-100.0
29039,-100.0
29045,-100.0
29056,-100.0
29059,-100.0
29071,-100.0
29072,-100.0
29089,-100.0
29106,-100.0
29117,-100.0
29123,-100.0
29126,-100.0
29152,-100.0
29162,-100.0
29180,-100.0
29200,-100.0
29230,-100.0
29238,-100.0
29250,-100.0
29256,-100.0
29273,-100.0
29276,-100.0
29288,-100.0
29289,-100.0
29306,-100.0
29307,-100.0
29311,-100.0
29323,-100.0
29339,-100.0
29356,-100.0
29358,-100.0
29372,-100.0
29390,-100.0
29392,-100.0
29406,-100.0
29423,-100.0
29439,-100.0
29440,-100.0
29456,-100.0
29460,-100.0
29511,-100.0
29533,-100.0
29560,-100.0
29563,-100.0
29579,-100.0
29584,-100.0
29610,-100.0
29615,-100.0
29627,-100.0
29632,-100.0
29638,-100.0
29643,-100.0
29649,-100.0
29660,-100.0
29665,-100.0
29671,-100.0
29677,-100.0
29679,-100.0
29695,-100.0
29712,-100.0
29759,-100.0
29770,-100.0
29776,-100.0
29777,-100.0
29798,-100.0
29808,-100.0
29812,-100.0
29843,-100.0
29858,-100.0
29860,-100.0
29877,-100.0
29893,-100.0
29894,-100.0
29906,-100.0
29986,-100.0
30008,-100.0
30039,-100.0
30050,-100.0
30075,-100.0
30115,-100.0
30123,-100.0
30131,-100.0
30138,-100.0
30141,-100.0
30156,-100.0
30162,-100.0
30167,-100.0
30169,-100.0
30181,-100.0
30186,-100.0
30193,-100.0
30219,-100.0
30232,-100.0
30240,-100.0
30255,-100.0
30275,-100.0
30289,-100.0
30319,-100.0
30335,-100.0
30348,-100.0
30367,-100.0
30388,-100.0
30399,-100.0
30414,-100.0
30429,-100.0
30449,-100.0
30477,-100.0
30484,-100.0
30494,-100.0
30515,-100.0
30526,-100.0
30633,-100.0
30668,-100.0
30750,-100.0
30773,-100.0
30839,-100.0
30857,-100.0
30898,-100.0
30913,-100.0
30973,-100.0
30997,-100.0
31070,-100.0
31090,-100.0
31104,-100.0
31119,-100.0
31172,-100.0
31173,-100.0
32253,-100.0
32254,-100.0
32272,-100.0
32359,-100.0
32371,-100.0
32479,-100.0
32491,-100.0
32526,-100.0
32540,-100.0
32616,-100.0
32628,-100.0
32641,-100.0
32649,-100.0
32722,-100.0
32731,-100.0
32835,-100.0
32853,-100.0
32904,-100.0
32990,-100.0
33002,-100.0
33026,-100.0
33089,-100.0
33104,-100.0
33156,-100.0
33231,-100.0
33249,-100.0
33331,-100.0
33451,-100.0
33477,-100.0
33512,-100.0
33582,-100.0
33583,-100.0
35065,-100.0
35066,-100.0
35101,-100.0
35120,-100.0
35129,-100.0
35147,-100.0
35165,-100.0
35181,-100.0
35239,-100.0
35255,-100.0
35268,-100.0
35279,-100.0
35300,-100.0
35317,-100.0
35365,-100.0
35371,-100.0
35398,-100.0
35423,-100.0
35438,-100.0
35499,-100.0
35529,-100.0
35537,-100.0
35555,-100.0
35571,-100.0
35600,-100.0
35614,-100.0
35630,-100.0
35646,-100.0
35660,-100.0
35678,-100.0
35710,-100.0
35739,-100.0
35768,-100.0
35780,-100.0
35797,-100.0
35828,-100.0
35922,-100.0
35932,-100.0
35968,-100.0
36020,-100.0
36087,-100.0
36106,-100.0
36168,-100.0
36203,-100.0
36266,-100.0
36287,-100.0
36320,-100.0
36345,-100.0
36459,-100.0
36481,-100.0
36496,-100.0
36514,-100.0
36532,-100.0
36583,-100.0
36607,-100.0
36620,-100.0
36637,-100.0
36649,-100.0
36677,-100.0
36689,-100.0
36715,-100.0
36729,-100.0
36753,-100.0
36789,-100.0
36838,-100.0
36919,-100.0
36941,-100.0
36969,-100.0
37055,-100.0
37088,-100.0
37118,-100.0
37136,-100.0
37155,-100.0
37180,-100.0
37198,-100.0
37213,-100.0
37225,-100.0
37241,-100.0
37250,-100.0
37276,-100.0
37283,-100.0
37293,-100.0
37319,-100.0
37322,-100.0
37332,-100.0
37357,-100.0
37365,-100.0
37419,-100.0
37455,-100.0
37470,-100.0
37490,-100.0
37501,-100.0
37574,-100.0
37590,-100.0
37631,-100.0
37653,-100.0
37765,-100.0
37777,-100.0
37793,-100.0
37812,-100.0
37833,-100.0
37982,-100.0
38000,-100.0
38012,-100.0
38031,-100.0
38049,-100.0
38126,-100.0
38146,-100.0
38163,-100.0
38170,-100.0
38193,-100.0
38200,-100.0
38228,-100.0
38229,-100.0
38247,-100.0
38268,-100.0
38283,-100.0
38300,-100.0
38321,-100.0
38322,-100.0
38332,-100.0
38358,-100.0
38368,-100.0
38372,-100.0
38392,-100.0
38403,-100.0
38413,-100.0
38450,-100.0
38452,-100.0
38463,-100.0
38478,-100.0
38487,-100.0
38498,-100.0
38506,-100.0
38513,-100.0
38529,-100.0
38548,-100.0
38561,-100.0
38573,-100.0
38577,-100.0
38580,-100.0
38593,-100.0
38598,-100.0
38614,-100.0
38617,-100.0
38632,-100.0
38636,-100.0
38646,-100.0
38665,-100.0
38668,-100.0
38688,-100.0
38697,-100.0
38718,-100.0
38731,-100.0
38742,-100.0
38761,-100.0
38779,-100.0
38798,-100.0
38811,-100.0
38831,-100.0
38840,-100.0
38878,-100.0
38888,-100.0
38915,-100.0
38929,-100.0
38967,-100.0
38984,-100.0
39008,-100.0
39030,-100.0
39064,-100.0
39065,-100.0
39066,-100.0
39076,-100.0
39103,-100.0
39119,-100.0
39139,-100.0
39149,-100.0
39170,-100.0
39174,-100.0
39197,-100.0
39439,-100.0
39457,-100.0
39473,-100.0
39489,-100.0
39493,-100.0
39506,-100.0
39507,-100.0
39523,-100.0
39527,-100.0
39539,-100.0
39543,-100.0
39556,-100.0
39573,-100.0
39581,-100.0
39589,-100.0
39592,-100.0
39606,-100.0
39613,-100.0
39623,-100.0
39629,-100.0
39640,-100.0
39656,-100.0
39660,-100.0
39673,-100.0
39676,-100.0
39689,-100.0
39706,-100.0
39719,-100.0
39723,-100.0
39729,-100.0
39747,-100.0
39758,-100.0
39780,-100.0
39797,-100.0
39798,-100.0
39808,-100.0
39817,-100.0
39829,-100.0
39838,-100.0
39839,-100.0
39840,-100.0
39853,-100.0
39857,-100.0
39860,-100.0
39864,-100.0
39873,-100.0
39874,-100.0
39878,-100.0
39889,-100.0
39890,-100.0
39897,-100.0
39906,-100.0
39907,-100.0
39911,-100.0
39923,-100.0
39924,-100.0
39929,-100.0
39940,-100.0
39947,-100.0
39956,-100.0
39964,-100.0
39968,-100.0
39973,-100.0
39978,-100.0
39982,-100.0
39989,-100.0
39993,-100.0
39999,-100.0
40006,-100.0
40007,-100.0
40016,-100.0
40023,-100.0
40024,-100.0
40033,-100.0
40039,-100.0
40048,-100.0
40052,-100.0
40056,-100.0
40065,-100.0
40069,-100.0
40073,-100.0
40076,-100.0
40078,-100.0
40089,-100.0
40097,-100.0
40106,-100.0
40107,-100.0
40123,-100.0
40126,-100.0
40253,-100.0
40284,-100.0
40316,-100.0
40331,-100.0
40557,-100.0
40570,-100.0
40592,-100.0
40602,-100.0
40622,-100.0
40642,-100.0
40654,-100.0
40739,-100.0
40760,-100.0
40800,-100.0
40808,-100.0
40830,-100.0
40840,-100.0
40860,-100.0
40875,-100.0
40906,-100.0
41158,-100.0
41178,-100.0
41196,-100.0
41206,-100.0
41227,-100.0
41238,-100.0
41256,-100.0
41274,-100.0
41299,-100.0
41309,-100.0
41376,-100.0
41393,-100.0
41416,-100.0
41431,-100.0
41448,-100.0
41465,-100.0
41473,-100.0
41484,-100.0
41490,-100.0
41498,-100.0
41506,-100.0
41521,-100.0
41523,-100.0
41534,-100.0
41539,-100.0
41556,-100.0
41573,-100.0
41582,-100.0
41592,-100.0
41595,-100.0
41609,-100.0
41628,-100.0
41648,-100.0
41659,-100.0
41672,-100.0
41695,-100.0
41713,-100.0
41733,-100.0
41739,-100.0
41757,-100.0
41773,-100.0
41782,-100.0
41789,-100.0
41794,-100.0
41806,-100.0
41823,-100.0
41839,-100.0
41861,-100.0
41873,-100.0
41900,-100.0
41911,-100.0
41951,-100.0
41963,-100.0
41972,-100.0
41984,-100.0
42007,-100.0
42011,-100.0
42029,-100.0
42050,-100.0
42067,-100.0
42082,-100.0
42092,-100.0
42106,-100.0
42126,-100.0
42244,-100.0
42270,-100.0
42296,-100.0
42327,-100.0
42333,-100.0
42347,-100.0
42388,-100.0
42399,-100.0
42456,-100.0
42480,-100.0
42505,-100.0
42515,-100.0
42528,-100.0
42529,-100.0
42539,-100.0
42553,-100.0
42556,-100.0
42564,-100.0
42578,-100.0
42592,-100.0
42639,-100.0
42652,-100.0
42657,-100.0
42693,-100.0
42711,-100.0
42714,-100.0
42727,-100.0
42736,-100.0
42755,-100.0
42760,-100.0
42791,-100.0
42847,-100.0
42865,-100.0
42879,-100.0
42887,-100.0
42906,-100.0
42922,-100.0
43055,-100.0
43072,-100.0
43080,-100.0
43081,-100.0
43086,-100.0
43116,-100.0
43127,-100.0
43132,-100.0
43162,-100.0
43208,-100.0
43245,-100.0
43275,-100.0
43295,-100.0
43306,-100.0
43329,-100.0
43349,-100.0
43452,-100.0
43479,-100.0
43505,-100.0
43521,-100.0
43558,-100.0
43570,-100.0
43685,-100.0
43697,-100.0
43719,-100.0
