,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
0,-100.0,-100.0,-100.0,-100.0
658,-100.0,-100.0,-100.0,-100.0
705,-100.0,-100.0,-100.0,-100.0
808,-100.0,-100.0,-100.0,-100.0
821,-100.0,-100.0,-100.0,-100.0
852,-100.0,-100.0,-100.0,-100.0
874,-100.0,-100.0,-100.0,-100.0
951,-100.0,-100.0,-100.0,-100.0
964,-100.0,-100.0,-100.0,-100.0
990,-100.0,-100.0,-100.0,-100.0
1001,-100.0,-100.0,-100.0,-100.0
1023,-100.0,-100.0,-100.0,-100.0
1034,-100.0,-100.0,-100.0,-100.0
1104,-100.0,-100.0,-100.0,-100.0
1129,-100.0,-100.0,-100.0,-100.0
1236,-100.0,-100.0,-100.0,-100.0
1258,-100.0,-100.0,-100.0,-100.0
1286,-100.0,-100.0,-100.0,-100.0
1302,-100.0,-100.0,-100.0,-100.0
1327,-100.0,-100.0,-100.0,-100.0
1411,-100.0,-100.0,-100.0,-100.0
1432,-100.0,-100.0,-100.0,-100.0
1456,-100.0,-100.0,-100.0,-100.0
1457,-100.0,-100.0,-100.0,-100.0
1494,-100.0,-100.0,-100.0,-100.0
1526,-100.0,-100.0,-100.0,-100.0
1575,-100.0,-100.0,-100.0,-100.0
1593,-100.0,-100.0,-100.0,-100.0
1611,-100.0,-100.0,-100.0,-100.0
1693,-100.0,-100.0,-100.0,-100.0
1709,-100.0,-100.0,-100.0,-100.0
1862,-100.0,-100.0,-100.0,-100.0
1880,-100.0,-100.0,-100.0,-100.0
1889,-100.0,-100.0,-100.0,-100.0
1906,-100.0,-100.0,-100.0,-100.0
1952,-100.0,-100.0,-100.0,-100.0
2025,-100.0,-100.0,-100.0,-100.0
2048,-100.0,-100.0,-100.0,-100.0
2074,-100.0,-100.0,-100.0,-100.0
2084,-100.0,-100.0,-100.0,-100.0
2104,-100.0,-100.0,-100.0,-100.0
2120,-100.0,-100.0,-100.0,-100.0
2207,-100.0,-100.0,-100.0,-100.0
2228,-100.0,-100.0,-100.0,-100.0
2344,-100.0,-100.0,-100.0,-100.0
2365,-100.0,-100.0,-100.0,-100.0
2409,-100.0,-100.0,-100.0,-100.0
2490,-100.0,-100.0,-100.0,-100.0
2517,-100.0,-100.0,-100.0,-100.0
2533,-100.0,-100.0,-100.0,-100.0
2555,-100.0,-100.0,-100.0,-100.0
2705,-100.0,-100.0,-100.0,-100.0
2715,-100.0,-100.0,-100.0,-100.0
2738,-100.0,-100.0,-100.0,-100.0
2781,-100.0,-100.0,-100.0,-100.0
2809,-100.0,-100.0,-100.0,-100.0
2854,-100.0,-100.0,-100.0,-100.0
2862,-100.0,-100.0,-100.0,-100.0
2873,-100.0,-100.0,-100.0,-100.0
2878,-100.0,-100.0,-100.0,-100.0
2880,-100.0,-100.0,-100.0,-100.0
2898,-100.0,-100.0,-100.0,-100.0
2910,-100.0,-100.0,-100.0,-100.0
2927,-100.0,-100.0,-100.0,-100.0
2940,-100.0,-100.0,-100.0,-100.0
2946,-100.0,-100.0,-100.0,-100.0
2974,-100.0,-100.0,-100.0,-100.0
2984,-100.0,-100.0,-100.0,-100.0
2998,-100.0,-100.0,-100.0,-100.0
3002,-100.0,-100.0,-100.0,-100.0
3027,-100.0,-100.0,-100.0,-100.0
3032,-100.0,-100.0,-100.0,-100.0
3036,-100.0,-100.0,-100.0,-100.0
3045,-100.0,-100.0,-100.0,-100.0
3054,-100.0,-100.0,-100.0,-100.0
3061,-100.0,-100.0,-100.0,-100.0
3077,-100.0,-100.0,-100.0,-100.0
3082,-100.0,-100.0,-100.0,-100.0
3094,-100.0,-100.0,-100.0,-100.0
3098,-100.0,-100.0,-100.0,-100.0
3106,-100.0,-100.0,-100.0,-100.0
3115,-100.0,-100.0,-100.0,-100.0
3128,-100.0,-100.0,-100.0,-100.0
3132,-100.0,-100.0,-100.0,-100.0
3149,-100.0,-100.0,-100.0,-100.0
3157,-100.0,-100.0,-100.0,-100.0
3165,-100.0,-100.0,-100.0,-100.0
3169,-100.0,-100.0,-100.0,-100.0
3176,-100.0,-100.0,-100.0,-100.0
3200,-100.0,-100.0,-100.0,-100.0
3204,-100.0,-100.0,-100.0,-100.0
3215,-100.0,-100.0,-100.0,-100.0
3250,-100.0,-100.0,-100.0,-100.0
3282,-100.0,-100.0,-100.0,-100.0
3297,-100.0,-100.0,-100.0,-100.0
3300,-100.0,-100.0,-100.0,-100.0
3313,-100.0,-100.0,-100.0,-100.0
3327,-100.0,-100.0,-100.0,-100.0
3344,-100.0,-100.0,-100.0,-100.0
3379,-100.0,-100.0,-100.0,-100.0
3394,-100.0,-100.0,-100.0,-100.0
3412,-100.0,-100.0,-100.0,-100.0
3431,-100.0,-100.0,-100.0,-100.0
3458,-100.0,-100.0,-100.0,-100.0
3479,-100.0,-100.0,-100.0,-100.0
3493,-100.0,-100.0,-100.0,-100.0
4855,-100.0,-100.0,-100.0,-100.0
4870,-100.0,-100.0,-100.0,-100.0
4896,-100.0,-100.0,-100.0,-100.0
4912,-100.0,-100.0,-100.0,-100.0
4917,-100.0,-100.0,-100.0,-100.0
4941,-100.0,-100.0,-100.0,-100.0
4969,-100.0,-100.0,-100.0,-100.0
4984,-100.0,-100.0,-100.0,-100.0
4985,-100.0,-100.0,-100.0,-100.0
5001,-100.0,-100.0,-100.0,-100.0
5035,-100.0,-100.0,-100.0,-100.0
5036,-100.0,-100.0,-100.0,-100.0
5048,-100.0,-100.0,-100.0,-100.0
5073,-100.0,-100.0,-100.0,-100.0
5079,-100.0,-100.0,-100.0,-100.0
5098,-100.0,-100.0,-100.0,-100.0
5116,-100.0,-100.0,-100.0,-100.0
5128,-100.0,-100.0,-100.0,-100.0
5130,-100.0,-100.0,-100.0,-100.0
5144,-100.0,-100.0,-100.0,-100.0
5166,-100.0,-100.0,-100.0,-100.0
5175,-100.0,-100.0,-100.0,-100.0
5183,-100.0,-100.0,-100.0,-100.0
5212,-100.0,-100.0,-100.0,-100.0
5230,-100.0,-100.0,-100.0,-100.0
5251,-100.0,-100.0,-100.0,-100.0
5269,-100.0,-100.0,-100.0,-100.0
5309,-100.0,-100.0,-100.0,-100.0
5325,-100.0,-100.0,-100.0,-100.0
5332,-100.0,-100.0,-100.0,-100.0
5344,-100.0,-100.0,-100.0,-100.0
5376,-100.0,-100.0,-100.0,-100.0
5402,-100.0,-100.0,-100.0,-100.0
5407,-100.0,-100.0,-100.0,-100.0
5418,-100.0,-100.0,-100.0,-100.0
5424,-100.0,-100.0,-100.0,-100.0
5430,-100.0,-100.0,-100.0,-100.0
5452,-100.0,-100.0,-100.0,-100.0
5456,-100.0,-100.0,-100.0,-100.0
5476,-100.0,-100.0,-100.0,-100.0
5503,-100.0,-100.0,-100.0,-100.0
5521,-100.0,-100.0,-100.0,-100.0
5528,-100.0,-100.0,-100.0,-100.0
5549,-100.0,-100.0,-100.0,-100.0
5550,-100.0,-100.0,-100.0,-100.0
5568,-100.0,-100.0,-100.0,-100.0
