,AZSSG2REHDX18,AYYSG3O9FNU15,AOEGJLWFISOZQ,AU2980AA60A2C,A93LDI16XJWI8
0,-100.0,-100.0,-100.0,-100.0,-100.0
1,-100.0,,-100.0,-100.0,-100.0
3037,-100.0,,-100.0,-100.0,-100.0
3055,-100.0,,-100.0,-100.0,-100.0
3071,-100.0,,-100.0,-100.0,-100.0
3088,-100.0,,-100.0,-100.0,-100.0
3104,-100.0,,-100.0,-100.0,-100.0
3121,-100.0,,-100.0,-100.0,-100.0
3487,-100.0,,-100.0,-100.0,-100.0
3506,-100.0,,-100.0,-100.0,-100.0
3521,-100.0,,-100.0,-100.0,-100.0
3537,-100.0,,-100.0,-100.0,-100.0
3555,-100.0,,-100.0,-100.0,-100.0
3571,-100.0,,-100.0,-100.0,-100.0
3587,-100.0,,-100.0,-100.0,-100.0
3604,-100.0,,-100.0,-100.0,-100.0
3620,-100.0,,-100.0,-100.0,-100.0
3639,-100.0,,-100.0,-100.0,-100.0
3654,-100.0,,-100.0,-100.0,-100.0
3672,-100.0,,-100.0,-100.0,-100.0
4621,-100.0,,-100.0,-100.0,-100.0
4639,-100.0,,-100.0,-100.0,-100.0
4655,-100.0,,-100.0,-100.0,-100.0
4672,-100.0,,-100.0,-100.0,-100.0
4687,-100.0,,-100.0,-100.0,-100.0
4704,-100.0,,-100.0,-100.0,-100.0
4721,-100.0,,-100.0,-100.0,-100.0
4737,-100.0,,-100.0,-100.0,-100.0
4755,-100.0,,-100.0,-100.0,-100.0
4771,-100.0,,-100.0,-100.0,-100.0
4903,-100.0,,-100.0,-100.0,-100.0
4921,-100.0,,-100.0,-100.0,-100.0
4937,-100.0,,-100.0,-100.0,-100.0
4954,-100.0,,-100.0,-100.0,-100.0
4972,-100.0,,-100.0,-100.0,-100.0
4987,-100.0,,-100.0,-100.0,-100.0
5005,-100.0,,-100.0,-100.0,-100.0
5970,-100.0,,-100.0,-100.0,-100.0
5988,-100.0,,-100.0,-100.0,-100.0
6005,-100.0,,-100.0,-100.0,-100.0
6022,-100.0,,-100.0,-100.0,-100.0
6037,-100.0,,-100.0,-100.0,-100.0
6054,-100.0,,-100.0,-100.0,-100.0
6072,-100.0,,-100.0,-100.0,-100.0
6255,-100.0,,-100.0,-100.0,-100.0
6272,-100.0,,-100.0,-100.0,-100.0
6290,-100.0,,-100.0,-100.0,-100.0
6304,-100.0,,-100.0,-100.0,-100.0
6321,-100.0,,-100.0,-100.0,-100.0
6337,-100.0,,-100.0,-100.0,-100.0
6353,-100.0,,-100.0,-100.0,-100.0
6371,-100.0,,-100.0,-100.0,-100.0
6538,-100.0,,-100.0,-100.0,-100.0
6555,-100.0,,-100.0,-100.0,-100.0
6570,-100.0,,-100.0,-100.0,-100.0
6587,-100.0,,-100.0,-100.0,-100.0
6604,-100.0,,-100.0,-100.0,-100.0
6621,-100.0,,-100.0,-100.0,-100.0
6639,-100.0,,-100.0,-100.0,-100.0
6653,-100.0,,-100.0,-100.0,-100.0
8621,-100.0,,-100.0,-100.0,-100.0
8637,-100.0,,-100.0,-100.0,-100.0
8654,-100.0,,-100.0,-100.0,-100.0
8671,-100.0,,-100.0,-100.0,-100.0
8688,-100.0,,-100.0,-100.0,-100.0
8705,-100.0,,-100.0,-100.0,-100.0
8720,-100.0,,-100.0,-100.0,-100.0
8737,-100.0,,-100.0,-100.0,-100.0
8754,-100.0,,-100.0,-100.0,-100.0
8771,-100.0,,-100.0,-100.0,-100.0
10771,-100.0,,-100.0,-100.0,-100.0
10788,-100.0,,-100.0,-100.0,-100.0
10805,-100.0,,-100.0,-100.0,-100.0
10807,-100.0,,-100.0,-100.0,-100.0
10821,-99.5,,-100.0,-100.0,-100.0
10824,-99.0,,-100.0,-100.0,-100.0
10838,-98.5,,-100.0,-100.0,-100.0
10839,-98.0,,-100.0,-100.0,-100.0
10854,-97.0,,-100.0,-100.0,-100.0
10855,-96.66666666666667,,-100.0,-100.0,-100.0
10872,-96.33333333333333,,-100.0,-100.0,-100.0
10879,-96.0,,-100.0,-100.0,-100.0
10888,-95.5,,-100.0,-100.0,-100.0
10894,-95.0,,-100.0,-100.0,-100.0
10904,-94.5,,-100.0,-100.0,-100.0
10911,-94.0,,-100.0,-100.0,-100.0
10920,-94.0,,-100.0,-100.0,-100.0
10937,-94.0,,-100.0,-100.0,-100.0
