,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
0,-100.0,-100.0,-100.0,-100.0
5,-100.0,-100.0,-100.0,-100.0
52055,-100.0,-100.0,-100.0,-100.0
52080,-100.0,-100.0,-100.0,-100.0
52161,-100.0,-100.0,-100.0,-100.0
52217,-100.0,-100.0,-100.0,-100.0
52246,-100.0,-100.0,-100.0,-100.0
52280,-100.0,-100.0,-100.0,-100.0
52310,-100.0,-100.0,-100.0,-100.0
52419,-100.0,-100.0,-100.0,-100.0
52442,-100.0,-100.0,-100.0,-100.0
52511,-100.0,-100.0,-100.0,-100.0
52544,-100.0,-100.0,-100.0,-100.0
52599,-100.0,-100.0,-100.0,-100.0
52626,-100.0,-100.0,-100.0,-100.0
52709,-100.0,-100.0,-100.0,-100.0
52767,-100.0,-100.0,-100.0,-100.0
52790,-100.0,-100.0,-100.0,-100.0
52838,-100.0,-100.0,-100.0,-100.0
52862,-100.0,-100.0,-100.0,-100.0
52900,-100.0,-100.0,-100.0,-100.0
53038,-100.0,-100.0,-100.0,-100.0
53109,-100.0,-100.0,-100.0,-100.0
53134,-100.0,-100.0,-100.0,-100.0
53178,-100.0,-100.0,-100.0,-100.0
53232,-100.0,-100.0,-100.0,-100.0
53342,-100.0,-100.0,-100.0,-100.0
53367,-100.0,-100.0,-100.0,-100.0
53435,-100.0,-100.0,-100.0,-100.0
53464,-100.0,-100.0,-100.0,-100.0
53493,-100.0,-100.0,-100.0,-100.0
53512,-100.0,-100.0,-100.0,-100.0
53562,-100.0,-100.0,-100.0,-100.0
53584,-100.0,-100.0,-100.0,-100.0
53668,-100.0,-100.0,-100.0,-100.0
53709,-100.0,-100.0,-100.0,-100.0
53741,-100.0,-100.0,-100.0,-100.0
53815,-100.0,-100.0,-100.0,-100.0
53861,-100.0,-100.0,-100.0,-100.0
53885,-100.0,-100.0,-100.0,-100.0
53927,-100.0,-100.0,-100.0,-100.0
53971,-100.0,-100.0,-100.0,-100.0
53995,-100.0,-100.0,-100.0,-100.0
54050,-100.0,-100.0,-100.0,-100.0
54091,-100.0,-100.0,-100.0,-100.0
54111,-100.0,-100.0,-100.0,-100.0
54142,-100.0,-100.0,-100.0,-100.0
54162,-100.0,-100.0,-100.0,-100.0
54264,-100.0,-100.0,-100.0,-100.0
54324,-100.0,-100.0,-100.0,-100.0
54357,-100.0,-100.0,-100.0,-100.0
54421,-100.0,-100.0,-100.0,-100.0
54456,-100.0,-100.0,-100.0,-100.0
54561,-100.0,-100.0,-100.0,-100.0
54644,-100.0,-100.0,-100.0,-100.0
54710,-100.0,-100.0,-100.0,-100.0
54757,-100.0,-100.0,-100.0,-100.0
54811,-100.0,-100.0,-100.0,-100.0
54869,-100.0,-100.0,-100.0,-100.0
54933,-100.0,-100.0,-100.0,-100.0
54969,-100.0,-100.0,-100.0,-100.0
55022,-100.0,-100.0,-100.0,-100.0
55062,-100.0,-100.0,-100.0,-100.0
55083,-100.0,-100.0,-100.0,-100.0
55121,-100.0,-100.0,-100.0,-100.0
55141,-100.0,-100.0,-100.0,-100.0
55173,-100.0,-100.0,-100.0,-100.0
55199,-100.0,-100.0,-100.0,-100.0
55224,-100.0,-100.0,-100.0,-100.0
55254,-100.0,-100.0,-100.0,-100.0
55383,-100.0,-100.0,-100.0,-100.0
55510,-100.0,-100.0,-100.0,-100.0
55549,-100.0,-100.0,-100.0,-100.0
55656,-100.0,-100.0,-100.0,-100.0
55689,-100.0,-100.0,-100.0,-100.0
55806,-100.0,-100.0,-100.0,-100.0
55896,-100.0,-100.0,-100.0,-100.0
55916,-100.0,-100.0,-100.0,-100.0
55919,-100.0,-100.0,-100.0,-100.0
55947,-100.0,-100.0,-100.0,-100.0
55964,-100.0,-100.0,-100.0,-100.0
55981,-100.0,-100.0,-100.0,-100.0
55997,-100.0,-100.0,-100.0,-100.0
55999,-100.0,-100.0,-100.0,-100.0
56014,-100.0,-100.0,-100.0,-100.0
56028,-100.0,-100.0,-100.0,-100.0
56032,-100.0,-100.0,-100.0,-100.0
56047,-100.0,-100.0,-100.0,-100.0
56057,-100.0,-100.0,-100.0,-100.0
56074,-100.0,-100.0,-100.0,-100.0
56092,-100.0,-100.0,-100.0,-100.0
56107,-100.0,-100.0,-100.0,-100.0
56112,-100.0,-100.0,-100.0,-100.0
56125,-100.0,-100.0,-100.0,-100.0
