,A1GFGZJPLCHHF,A3ST8XFT4X93K
0,-100.0,-100.0
1,-100.0,-100.0
2,-100.0,-100.0
8056,-100.0,-100.0
8080,-100.0,-100.0
9928,-100.0,-100.0
9947,-100.0,-100.0
9995,-100.0,-100.0
10012,-100.0,-100.0
10044,-100.0,-100.0
10078,-100.0,-100.0
10228,-100.0,-100.0
10247,-100.0,-100.0
10278,-100.0,-100.0
10297,-100.0,-100.0
10313,-100.0,-100.0
10345,-100.0,-100.0
10913,-100.0,-100.0
10949,-100.0,-100.0
10980,-100.0,-100.0
20644,-100.0,-100.0
20661,-100.0,-100.0
20699,-100.0,-100.0
20712,-100.0,-100.0
20730,-100.0,-100.0
20746,-100.0,-100.0
20766,-100.0,-100.0
20781,-100.0,-100.0
20836,-100.0,-100.0
20851,-100.0,-100.0
20896,-100.0,-100.0
20913,-100.0,-100.0
20942,-100.0,-100.0
20956,-100.0,-100.0
21009,-100.0,-100.0
21027,-100.0,-100.0
21075,-100.0,-100.0
21089,-100.0,-100.0
21130,-100.0,-100.0
21144,-100.0,-100.0
21204,-100.0,-100.0
21221,-100.0,-100.0
21279,-100.0,-100.0
21300,-100.0,-100.0
21350,-100.0,-100.0
21369,-100.0,-100.0
21427,-100.0,-100.0
21448,-100.0,-100.0
21501,-100.0,-100.0
21520,-100.0,-100.0
21521,-100.0,-100.0
37433,-100.0,-100.0
37469,-100.0,-100.0
37503,-100.0,-100.0
37520,-100.0,-100.0
37539,-100.0,-100.0
37555,-100.0,-100.0
37572,-100.0,-100.0
37590,-100.0,-100.0
37607,-100.0,-100.0
37625,-100.0,-100.0
37644,-100.0,-100.0
37660,-100.0,-100.0
37666,-100.0,-100.0
38008,-100.0,-100.0
38025,-100.0,-100.0
38059,-100.0,-100.0
38077,-100.0,-100.0
38083,-100.0,-100.0
38100,-100.0,-100.0
38119,-100.0,-100.0
38135,-100.0,-100.0
38152,-100.0,-100.0
38172,-100.0,-100.0
38206,-100.0,-100.0
38511,-100.0,-100.0
38521,-100.0,-100.0
38554,-100.0,-100.0
38570,-100.0,-100.0
38587,-100.0,-100.0
38604,-100.0,-100.0
38623,-100.0,-100.0
38640,-100.0,-100.0
38658,-100.0,-100.0
39091,-100.0,-100.0
39112,-100.0,-100.0
39143,-100.0,-100.0
39169,-100.0,-100.0
39203,-100.0,-100.0
39220,-100.0,-100.0
39238,-100.0,-100.0
39560,-100.0,-100.0
39570,-100.0,-100.0
39602,-100.0,-100.0
39619,-100.0,-100.0
39637,-100.0,-100.0
39655,-100.0,-100.0
39672,-100.0,-100.0
39689,-100.0,-100.0
39707,-100.0,-100.0
39726,-100.0,-100.0
39761,-100.0,-100.0
39975,-100.0,-100.0
39995,-100.0,-100.0
40018,-100.0,-100.0
40036,-100.0,-100.0
40070,-100.0,-100.0
40088,-100.0,-100.0
40106,-100.0,-100.0
40123,-100.0,-100.0
40142,-100.0,-100.0
40158,-100.0,-100.0
40470,-100.0,-100.0
40490,-100.0,-100.0
40523,-100.0,-100.0
40540,-100.0,-100.0
40558,-100.0,-100.0
