,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,,-100.0,-100.0,-100.0,-100.0,-100.0
23166,,-100.0,-100.0,-100.0,-100.0,-100.0
23184,,-100.0,-99.0,-100.0,-100.0,-100.0
23216,,-100.0,-97.0,-100.0,-100.0,-100.0
23233,,-100.0,-96.0,-100.0,-100.0,-100.0
23249,,-100.0,-95.0,-100.0,-100.0,-100.0
23266,,-100.0,-93.0,-100.0,-100.0,-100.0
23283,,-100.0,-92.0,-100.0,-100.0,-100.0
23299,,-100.0,-91.0,-100.0,-100.0,-100.0
23316,,-100.0,-90.0,-100.0,-100.0,-100.0
23333,,-100.0,-89.0,-100.0,-100.0,-100.0
23350,,-100.0,-88.0,-100.0,-100.0,-100.0
25163,,-100.0,-88.0,-100.0,-100.0,-100.0
25180,,-100.0,-87.0,-100.0,-100.0,-100.0
25546,,-100.0,-87.0,-100.0,-100.0,-100.0
25564,,-100.0,-86.0,-100.0,-100.0,-100.0
25596,,-100.0,-85.0,-100.0,-100.0,-100.0
25613,,-100.0,-83.0,-100.0,-100.0,-100.0
25629,,-100.0,-82.0,-100.0,-100.0,-100.0
25646,,-100.0,-81.0,-100.0,-100.0,-100.0
25662,,-100.0,-80.0,-100.0,-100.0,-100.0
25679,,-100.0,-79.0,-100.0,-100.0,-100.0
25696,,-100.0,-78.0,-100.0,-100.0,-100.0
25713,,-100.0,-77.0,-100.0,-100.0,-100.0
25862,,-100.0,-77.0,-100.0,-100.0,-100.0
25880,,-100.0,-76.0,-100.0,-100.0,-100.0
25912,,-100.0,-74.0,-100.0,-100.0,-100.0
25929,,-100.0,-73.0,-100.0,-100.0,-100.0
25946,,-100.0,-71.0,-100.0,-100.0,-100.0
25962,,-100.0,-70.0,-100.0,-100.0,-100.0
25979,,-100.0,-69.0,-100.0,-100.0,-100.0
25995,,-100.0,-68.0,-100.0,-100.0,-100.0
26030,,-100.0,-66.0,-100.0,-100.0,-100.0
26162,,-100.0,-66.0,-100.0,-100.0,-100.0
26179,,-100.0,-65.0,-100.0,-100.0,-100.0
26196,,-100.0,-64.0,-100.0,-100.0,-100.0
26212,,-100.0,-63.0,-100.0,-100.0,-100.0
26228,,-100.0,-62.0,-100.0,-100.0,-100.0
26246,,-100.0,-60.0,-100.0,-100.0,-100.0
26262,,-100.0,-59.0,-100.0,-100.0,-100.0
26278,,-100.0,-58.0,-100.0,-100.0,-100.0
26295,,-100.0,-57.0,-100.0,-100.0,-100.0
26313,,-100.0,-56.0,-100.0,-100.0,-100.0
26478,,-100.0,-56.0,-100.0,-100.0,-100.0
26497,,-100.0,-55.0,-100.0,-100.0,-100.0
26528,,-100.0,-53.0,-100.0,-100.0,-100.0
26545,,-100.0,-52.0,-100.0,-100.0,-100.0
26561,,-100.0,-51.0,-100.0,-100.0,-100.0
26579,,-100.0,-50.0,-100.0,-100.0,-100.0
26595,,-100.0,-49.0,-100.0,-100.0,-100.0
26612,,-100.0,-48.0,-100.0,-100.0,-100.0
26628,,-100.0,-47.0,-100.0,-100.0,-100.0
26645,,-100.0,-46.0,-100.0,-100.0,-100.0
26827,,-100.0,-46.0,-100.0,-100.0,-100.0
26845,,-100.0,-45.0,-100.0,-100.0,-100.0
26861,,-100.0,-44.0,-100.0,-100.0,-100.0
26877,,-100.0,-43.0,-100.0,-100.0,-100.0
26894,,-100.0,-42.0,-100.0,-100.0,-100.0
26912,,-100.0,-40.0,-100.0,-100.0,-100.0
26927,,-100.0,-39.0,-100.0,-100.0,-100.0
26946,,-100.0,-38.0,-100.0,-100.0,-100.0
26961,,-100.0,-37.0,-100.0,-100.0,-100.0
26978,,-100.0,-36.0,-100.0,-100.0,-100.0
27992,,-100.0,-36.0,-100.0,-100.0,-100.0
28010,,-100.0,-35.0,-100.0,-100.0,-100.0
28026,,-100.0,-34.0,-100.0,-100.0,-100.0
28042,,-100.0,-33.0,-100.0,-100.0,-100.0
28059,,-100.0,-31.0,-100.0,-100.0,-100.0
28076,,-100.0,-30.0,-100.0,-100.0,-100.0
28109,,-100.0,-28.0,-100.0,-100.0,-100.0
28126,,-100.0,-27.0,-100.0,-100.0,-100.0
28142,,-100.0,-26.0,-100.0,-100.0,-100.0
28159,,-100.0,-25.0,-100.0,-100.0,-100.0
28175,,-100.0,-24.0,-100.0,-100.0,-100.0
28192,,-100.0,-23.0,-100.0,-100.0,-100.0
28209,,-100.0,-21.0,-100.0,-100.0,-100.0
28225,,-100.0,-20.0,-100.0,-100.0,-100.0
28242,,-100.0,-19.0,-100.0,-100.0,-100.0
28259,,-100.0,-18.0,-100.0,-100.0,-100.0
28273,,-100.0,-17.0,-100.0,-100.0,-100.0
28274,,-100.0,,-100.0,-100.0,-100.0
39702,,-100.0,,-100.0,-100.0,-100.0
39729,,-100.0,,-100.0,-100.0,-99.0
39770,,-100.0,,-100.0,-100.0,-99.0
39785,,-100.0,,-100.0,-100.0,-98.0
39810,,-100.0,,-100.0,-100.0,-98.0
39830,,-100.0,,-100.0,-100.0,-97.0
39857,,-100.0,,-100.0,-100.0,-97.0
39876,,-100.0,,-100.0,-100.0,-96.0
39902,,-100.0,,-100.0,-100.0,-96.0
39924,,-100.0,,-100.0,-100.0,-95.0
39935,,-100.0,,-100.0,-100.0,-95.0
39951,,-100.0,,-100.0,-100.0,-94.0
39971,,-100.0,,-100.0,-100.0,-94.0
39986,,-100.0,,-100.0,-100.0,-93.0
40007,,-100.0,,-100.0,-100.0,-93.0
40019,,-100.0,,-100.0,-100.0,-92.0
40040,,-100.0,,-100.0,-100.0,-92.0
40055,,-100.0,,-100.0,-100.0,-91.0
40077,,-100.0,,-100.0,-100.0,-91.0
40090,,-100.0,,-100.0,-100.0,-90.0
40109,,-100.0,,-100.0,-100.0,-90.0
40125,,-100.0,,-100.0,-100.0,-89.0
40134,,-100.0,,-100.0,-100.0,-89.0
40152,,-100.0,,-100.0,-100.0,-88.0
40172,,-100.0,,-100.0,-100.0,-88.0
40186,,-100.0,,-100.0,-100.0,-87.0
40212,,-100.0,,-100.0,-100.0,-87.0
40228,,-100.0,,-100.0,-100.0,-86.0
40262,,-100.0,,-100.0,-100.0,-86.0
40278,,-100.0,,-100.0,-100.0,-85.0
40322,,-100.0,,-100.0,-100.0,-85.0
40339,,-100.0,,-100.0,-100.0,-84.0
40360,,-100.0,,-100.0,-100.0,-84.0
40377,,-100.0,,-100.0,-100.0,-83.0
40409,,-100.0,,-100.0,-100.0,-83.0
40423,,-100.0,,-100.0,-100.0,-82.0
40442,,-100.0,,-100.0,-100.0,-82.0
40460,,-100.0,,-100.0,-100.0,-81.0
40480,,-100.0,,-100.0,-100.0,-81.0
40497,,-100.0,,-100.0,-100.0,-80.0
40516,,-100.0,,-100.0,-100.0,-80.0
40530,,-100.0,,-100.0,-100.0,-79.0
40550,,-100.0,,-100.0,-100.0,-79.0
40553,,-100.0,,-100.0,-100.0,-78.0
40574,,-100.0,,-100.0,-100.0,-78.0
40587,,-100.0,,-100.0,-100.0,-77.0
40607,,-100.0,,-100.0,-100.0,-77.0
40622,,-100.0,,-100.0,-100.0,-76.0
40642,,-100.0,,-100.0,-100.0,-76.0
40657,,-100.0,,-100.0,-100.0,-75.0
40675,,-100.0,,-100.0,-100.0,-75.0
40686,,-100.0,,-100.0,-100.0,-74.0
40709,,-100.0,,-100.0,-100.0,-74.0
40727,,-100.0,,-100.0,-100.0,-73.0
40749,,-100.0,,-100.0,-100.0,-73.0
40762,,-100.0,,-100.0,-100.0,-72.0
40771,,-100.0,,-100.0,-100.0,-72.0
40788,,-100.0,,-100.0,-100.0,-71.0
40809,,-100.0,,-100.0,-100.0,-71.0
