age,id,length_min,title,uuid,violence_rating,violence_text
9,6160453,92,Horrible Histories: The Movie - Rotten Romans,05a81a8e-028f-49d8-aa6e-f6fbe0576d16,4.0,"Plenty of slapstick violence -- including some deaths. Characters are stabbed, have bottles smashed over their heads, and are poisoned. Characters are executed off-screen. There is some cartoonish blood spatter. Some characters are kidnapped and held captive. A character is shot in the arm with an arrow and is later seen wearing a bandage. A village is seen on fire. Characters sing a song about killing Romans. A large battle -- with swords -- takes place at the end of the movie. A severed head is caught by an innocent bystander."
16,6158616,111,Color Out of Space,5107bee7-25de-40e0-8272-3cf1a819a5df,5.0,"Graphic, horrifying images. Alpacas (and people) are mutated and fused together into shocking abominations. Characters die. Scenes of shooting monstrosities with a shotgun. Lots of scary/creepy stuff and scary sounds. A woman cuts off her fingers with a knife (blood shown). Teen cuts own flesh with box knife, dripping blood. A cracked-open egg contains blood. Strong tension and arguing. Cancer is mentioned."
15,6157872,109,The Rhythm Section,31bc9827-5ec6-42ed-aad5-1c0ee5a60c55,4.0,"Frequent violence, including references to an airplane that blew up mid-flight and turned out to be the target of a terrorist's bomb. Close-ups of characters shot dead. Hand-to-hand fights in which a man and a woman punch, kick, stab, choke, and wrestle each other. People are shot, stabbed, blown up, crashed into, and poisoned. One character tries but fails to slit someone's throat (she wounds him but doesn't kill). A character's car blows up, killing three innocent people. Several chase scenes in which villains are shooting at the main character and trying to run her off the road."
5,4448406,102,Frozen,1343afa0-d1ca-47cd-a843-18ff9e431d32,2.0,"When they're young, Elsa accidentally hits Anna with her freezing magic and ends up nearly killing her. Elsa and Anna's parents die in a shipwreck; the stormy sea/sinking boat and resulting mourning are briefly seen. Queen Elsa unleashes her magic on the kingdom and plunges it into eternal winter. Vicious wolves chase Anna and Kristoff on a sleigh. Elsa creates a very menacing snow monster and accidentally hurts Anna again. Men with guns and bows try to hurt Elsa. The queen is imprisoned and sentenced to be executed. Anna's heart begins to freeze, and it seems likely her whole body will turn to ice. A severe winter storm unleashed by Elsa's feelings could upset/alarm some younger kids."
6,6078375,103,Frozen 2,c85d88fb-b1b4-4e3d-8804-d6575bcef0f8,3.0,"Potential spoilers throughout this section. Several flashbacks to battle that involves weapons (mostly swords), injury, danger, nongraphic death (we're told of one death, and one other person is obviously killed -- they're shown moments before assassination). The sisters find remains of their parents' shipwreck in an unexpected place, which makes them sad; other references to their parents' deaths. Frequent peril and risk: Chases, smashing, panic, falls, etc. Enchanted Forest can be scary: enormous Earth giants are initially frightening (especially when they hurl boulders at people), as is a water horse. Air spirits use a tornado-like cloud to roughly grab, spin main characters. Elsa is repeatedly tossed around by huge waves. Various elemental spirits (air, earth, fire, water) magically threaten Arendelle; the whole kingdom is in danger at a couple of different points; citizens must be evacuated. Billowing smoke and swirling, magical-looking fire that burns quickly and endangers characters. Definite spoiler alert! At one point it looks like Elsa has frozen permanently, and Olaf melts/flurries away as a result (little kids may be quite upset by this, but it's not permanent) -- Anna is extremely sad after that scene."
16,6156140,123,Bad Boys for Life,4a76f658-b46a-47e9-8597-66f51261fbe3,4.0,"Lots of intense, over-the-top action violence. Guns (including a high-powered sniper rifle) and shooting. Blood spurts, pools of blood. Character impaled by metal spike. Car drops on character's head. Dead bodies. Car chases and crashes. Helicopter crash. Fighting and punching, beating with blunt objects. Character's hand hit with a hammer. Stabbing. Explosions and fire. Video of violent shooting uploaded to the internet and played over and over. A man fights with a woman, throwing her down."
14,6157670,94,The Turning,681fdf90-1484-4be1-ab7d-67d4f0e84c1a,3.0,"Kate hears voices and sees figures that, upon further investigation, aren't there. She's hurt and gets a bloody nose. She sees a person face down in the water, appearing to drown. In visions, Kate sees Quint sexually assaulting the former teacher as well as choking her. Miles whips a horse as he gives Kate an aggressive horseback-riding lesson. In a horseback chase, Kate nearly crashes into Flora."
8,1255355,93,Teenage Mutant Ninja Turtles: The Movie,b37e7c51-ca7d-49bb-be76-c9e4f9784161,3.0,"Abundant martial arts fighting that's sometime comical and slapstick (usually when it's Turtle-vs.-villains), sometimes bone-crunching and brutal (when its human-on-human). Two dead bodies seen as the result of barely offscreen karate killings. Human characters threatened with baseball bats, swords, and clubs. One character crushed in a trash compactor. Heroes knocked out and comatose, but no blood."
13,4074431,106,Gremlins 2: The New Batch,5e877be8-1123-4738-b041-7c71045ceb0b,3.0,"While there's mostly cartoonish violence, and a lot of it, there are some moments in the film that might be scary for younger viewers. A gremlin is shot in the head by another gremlin. A gremlin is killed when a man shoves him into a paper shredder, resulting in thick green goo spraying all over the man's suit."
8,5120426,88,Teenage Mutant Ninja Turtles 2: The Secret of the Ooze,36fd7386-9d1e-42ed-8d32-ef028f33676d,2.0,Martial-arts violence and comedic pratfalls. Mutants knock over cars and telephone poles. Sensitive kids might find the mutant wolf and snapping turtle scary.
