,age,id,length_min,title_matched_path,title_matched,title,uuid,violence_rating,violence_text
8947,14,5783081,40,/data/GDI/SeeJane_2019/Long_Shot.mp4,Long Shot,Long Shot,ff79b485-1300-479f-95af-9fea8f4aaaad,3.0,Close-ups of a woman's body lying dead on the street. Talk of an execution-style murder.
8236,10,1262207,80,/data/GDI/SeeJane_2019/Godzilla_King_of_the_Monsters.mp4,Godzilla King of the Monsters,Godzilla: King of the Monsters!,68ae138b-c77b-4be1-841f-ab2825e2f093,3.0,"Godzilla famously destroys public property. Boats, trains, planes, and automobiles are wrecked by the giant reptile. Blood shown on dead and wounded left in the aftermath of a Godzilla attack. There's a scuffle between humans, one of whom dies offscreen in more or less a suicide."
7227,8,5928266,85,/data/GDI/Film2018/Sgt_Stubby_American_Hero.mp4,Sgt Stubby American Hero,Sgt. Stubby: An American Hero,bce353d0-d4cc-4927-88bf-e42b4e61752e,3.0,"World War I scenes can be disturbing -- like when the American soldiers prepare for gas attacks, and then on the Western Front, when the soldiers engage in trench warfare with bombings, poison gas, guns, tanks, etc. A secondary character dies in battle, and in a couple of scenes, it seems like the main characters, including Stubby, may die."
1346,6,5884061,86,/data/GDI/Film2018/Sherlock_Gnomes.mp4,Sherlock Gnomes,Sherlock Gnomes,e03257e7-c1d0-4314-be92-ab590d9b1da8,3.0,"Frequent peril, with chases, fights, pursuits, and close-call getaways. Gnomes disappear and are kidnapped/kept captive by scary gargoyles. Moriarty smashes and injures gnomes and then looks as if he's been smashed/killed himself. Gnomes are in danger and will be smashed all at once unless the heroes intervene; at one point, it's believed that an important sympathetic character has been smashed/died. A stampede of rats passes by and nearly tramples the protagonists. There's a climactic battle in which there are many close calls, but ultimately all the heroes are fine."
6776,16,5646081,88,/data/GDI/SeeJane_2019/The_Hustle.mp4,The Hustle,The House,74a75e98-2864-416d-824f-a5cbe1a4fe15,3.0,"Surprising amount of violence for a comedy: A man's finger is chopped off accidentally; he screams, and gouts of blood cover another man's clothes and face. A character frequently threatens others with an axe and eventually chops off someone's arm (silly yet gory special effects) and then sets him on fire; another character makes threats with a blowtorch. A woman jokes about her problems and mimes that she's going to commit suicide by hanging. A mobster threatens characters with a gun; a police officer tosses a gun around playfully and tells horrified onlookers that being afraid of a gun is ""silly."""
919,8,5929546,88,/data/GDI/Film2018/Teen_Titans_Go_To_the_Movies.mp4,Teen Titans Go To the Movies,Teen Titans Go! To the Movies,3eb91b53-33db-4d82-9247-316fe6e3a7ba,3.0,"Violence is frequent but cartoonish, with lots of humor. Weapons include guns, missiles, swords, lasers, chains, and more. Many come across as silly, not scary, but they're used frequently by superheroes, villains, law enforcers. In one scene, security guards' guns backfire in their faces. A giant balloon robot lays waste to Jump City early in the movie; other buildings suffer explosions/destruction later. A giant robot with a huge mace goes after the Titans. Some characters are comically killed, injured, beaten, or pushed into danger/an abyss by the Teen Titans, who show no remorse."
7137,6,5872841,89,/data/GDI/Film2018/Early_Man.mp4,Early Man,Early Man,73659f51-81b1-4792-b1be-e73e732993aa,3.0,"An ominous-sounding score opens the film. Bronze Age characters demolish the Stone Age community's buildings/homes and trample over everything. Lots of physical comedy (characters getting hit with the ball, falling, tripping, getting mildly hurt) and sight gags. The Bronze Age army/security forces pursue the Stone Agers but don't kill them. A tied-up rabbit looks like it should be roasting but always manages to escape being fully captured/eaten."
7103,15,5854506,89,/data/GDI/Film2018/Proud_Mary.mp4,Proud Mary,Proud Mary,02bffa54-5bb5-40e4-bcae-fa3d2165ddbd,3.0,"Tons of shoot-outs, a few CGI-looking blood spatters, occasional wounds. Most of the violence isn't extreme, but there's one scene of torture in which a nail gun is used on a captive's feet and hands (it's not particularly graphic -- no blood, but lots of screaming). Violence doesn't have much emotional impact, except for one instance of a kid being hit hard by an adult."
7077,7,5828741,89,/data/GDI/Film2018/Peter_Rabbit.mp4,Peter Rabbit,Peter Rabbit,d9d32166-5483-42e2-aca7-859fdb8cc43e,3.0,"Peter and his sisters have lost both of their parents; their dad for sure was eaten in a pie by Old Mr. McGregor (there's a flashback to the sadness that caused). Old Mr. McGregor dies unexpectedly of a heart attack; Peter pokes his open eye to check. Several perilous situations (rabbits are caught by humans more than once), plus dynamite, explosions, and dangerous pranks; animals attack a human with blackberries after discovering he's allergic to them (he has a reaction and must treat himself with an EpiPen). Humans chase rabbits, threaten them with rakes, etc. One supporting character briefly seems to be dead (she's not). Threats of rabbit-eating. Lots of chasing and falling. Human characters are shocked repeatedly by electricity and snapped in rat traps. Joke about broken ribs. Temper tantrums that include destruction of property."
1062,13,6120464,89,/data/GDI/SeeJane_2019/Meters_Down_Uncaged.mp4,Meters Down Uncaged,47 Meters Down: Uncaged,b40509a7-9dee-48f2-b545-b03376c8cd66,3.0,"Shark-related violence. Sharks attack, scooping up victims in their mouths. Blood swirls in the water. Several jump scares. Characters die. Gory human head. A character drowns, horrifyingly. Bloody, gory wounds. Shark shot with a flare gun. Collapsing cave walls. General suspense, terror. Bullies shove a teen into a swimming pool."
